student_id,gpa,attendance,semester,prev_gpa,failed_courses,feedback_engagement,late_assignments,forum_participation,meeting_attendance,study_group,days_active,clicks_per_week,assessments_submitted,previous_attempts,studied_credits,dropout
S0001,3.347699907107863,98.99355436586002,6,2.8987411305808393,0,44.818687481385076,1.450055499724023,5,84.17188234304157,3,6.911595012004359,15,6,0,12,0
S0002,2.903214989180171,94.24633682912769,7,2.708207808858101,0,85.74033139281784,13.599404484038168,1,55.611619589382556,1,5.666089741826487,12,5,0,27,1
S0003,3.4533819766704847,85.59630369920174,6,3.4283505857333765,1,90.47552603241633,22.014921504018126,1,79.53296692527087,2,4.967114300797205,8,9,1,26,1
S0004,4.0,78.53063222294426,3,3.565106434090441,0,61.93124602757284,10.275495089834234,5,85.01298414757649,1,4.54392572728837,18,9,0,20,1
S0005,2.836092637693665,91.9822331361359,3,2.559534693756071,3,79.77854479278058,30.54597720111652,3,59.371107785282156,2,6.0771624764408045,10,7,1,14,0
S0006,2.8361041301355736,88.9348538542175,8,2.534916918511124,0,60.87393934954761,12.084722083745609,2,65.99012060544565,0,5.177989379603304,14,4,0,31,1
S0007,4.0,93.95193220027733,3,4.0,1,100.0,23.854361572759167,4,87.33752950755306,0,6.731758383180352,7,3,3,38,0
S0008,3.537204310407036,91.35171801681969,6,3.5580076115179113,2,77.30741844430628,21.763725209928296,2,71.80510603532133,2,3.3122951375741847,1,3,0,16,0
S0009,2.6713679298455335,95.49552715319335,4,2.4548466638443576,1,51.65689017257903,46.01649637681079,3,78.46187342735038,0,5.423645788533188,5,8,2,35,0
S0010,3.3797920305101754,79.64764788439432,5,3.432838292151995,2,83.39616196018676,5.371386123495908,3,88.11166278438469,1,4.436702332454117,9,3,1,32,0
S0011,2.6756076150312764,98.17394065634326,5,2.511603589655097,1,91.17561346980494,53.126286367320574,4,100.0,0,5.414275217513602,3,3,0,27,0
S0012,2.67398917250082,86.975996046924,8,2.592492639403004,1,73.96263302271751,11.08475220890593,4,76.67322198382412,2,5.250856251596398,12,6,1,38,0
S0013,3.1693735900962237,100.0,2,3.6714092171857846,2,79.58883383486537,0.0,2,100.0,0,5.509666209000023,4,4,1,16,0
S0014,1.6607038287395415,78.10812181910433,5,2.062842144276646,3,68.60493141542405,16.746275143601935,2,50.6183950805661,2,5.977582146776189,5,7,1,27,1
S0015,1.7925575172408772,100.0,5,1.402683146162598,1,47.31439093707533,68.60208722955211,1,82.22544288022978,1,6.389792579761828,14,5,0,11,0
S0016,2.6063987295313193,86.97910783462648,3,2.855318454895072,1,66.96532483158984,33.428078525279375,6,74.98866189357153,0,6.951723170403616,8,4,0,37,0
S0017,2.291018215765903,78.48581996385552,3,2.534437182113381,0,80.46079265927116,29.044461551618923,4,72.01311523897404,1,5.0157943010573725,13,3,2,15,1
S0018,3.219973132816692,80.16114165945679,6,2.8754941461909063,1,67.43946264033524,31.927802924622807,3,89.8710136333528,0,4.457650026389686,11,3,0,31,0
S0019,2.364383147135152,81.7965269180568,8,2.61001644026161,1,86.01530853479181,8.456098032465393,2,76.7806900192217,0,3.774178231318277,6,6,0,17,0
S0020,2.011387409065296,89.24165946401916,2,2.472766984589062,2,62.15636877604832,24.89066564548789,2,49.625699976601744,0,5.434886340363585,16,4,2,30,1
S0021,4.0,90.228354880355,8,3.663236558126676,0,63.46818345098345,20.037534504756838,2,56.17446127624126,0,5.834917347426754,4,3,1,30,0
S0022,2.841956589659425,79.26299996061421,1,2.566705743355146,1,86.6223999598781,47.13600122966615,5,90.83040437534666,3,3.651552250968892,13,7,0,35,0
S0023,3.0472697432815465,84.75645407739017,7,3.352568183334597,3,74.43705033606089,18.369684251200212,1,55.44158139613905,0,6.14466498424874,3,2,1,26,1
S0024,2.00267626965058,100.0,2,2.0841248628982747,2,61.76556837688816,14.325851831338873,3,91.23231771771168,1,4.898649689616188,14,7,0,13,0
S0025,2.618932092832372,100.0,2,2.784374975404229,2,90.67610752017248,2.5280090394631642,1,81.87160231866734,0,3.7441832157576735,9,3,1,26,0
S0026,3.077645812796906,89.36323669674032,4,3.1798225777170552,2,56.22528564098944,22.10021730313423,1,77.44573202261299,1,4.151712805505352,14,6,2,35,0
S0027,2.194304495804388,85.380034781682,8,2.311513272082831,1,55.46102081965302,24.394277502782526,7,78.77788740202591,0,4.056757237356222,13,5,0,25,0
S0028,3.2629886128419705,86.20031326718261,6,2.8650469743486457,1,13.411023778718516,1.976177177892236,6,87.72137030270125,1,4.074544751900942,18,4,0,30,0
S0029,2.5795529170568363,91.13517972730416,4,2.893748229043271,0,58.92062902845105,26.79745406090864,1,62.337710395903386,2,5.569901396442642,10,3,1,24,0
S0030,2.7958143751447064,74.77207434801595,2,3.1466913728730384,0,96.17433357844564,23.49769285692288,5,80.63436640996588,1,5.863827728688549,7,4,1,24,0
S0031,2.5788053714394223,82.42623462576655,2,2.509988148219014,2,28.554146276551222,35.20168639825646,3,62.90745808878101,0,6.699145581523202,13,6,0,17,0
S0032,4.0,68.3141592612241,2,3.9869569150558415,0,50.96159719541565,38.18552176852855,2,82.45467164004302,1,4.301777767661504,10,6,2,26,0
S0033,2.9905519426834464,88.9922312260528,5,2.53121969191673,1,78.7813711178034,21.41418940421419,3,89.69715179297528,0,5.342956267455306,4,3,0,39,0
S0034,2.2596023497308697,91.4719593970274,8,2.41387877653622,1,25.102664522145446,4.454526738018567,3,82.48918794218473,0,4.352974199701343,11,3,1,28,1
S0035,3.5757814384722324,80.16813537700627,7,3.7473986709864757,0,59.78602772980471,7.5406762918303265,4,89.12903245895883,1,5.020123902995707,12,4,0,10,0
S0036,2.1454094450202845,100.0,7,2.1267521399204914,0,92.81726431221493,46.43191494618637,6,69.49977747360069,1,3.519619612674342,10,7,0,22,0
S0037,3.146204516503329,72.7423433699766,4,3.4835105244644797,1,100.0,22.482340896838405,3,79.06729918519135,1,3.87680285966022,6,5,0,15,1
S0038,1.6282309132841573,70.3562511979018,2,1.5280077439901751,1,75.80493131334065,46.19230669326586,3,76.43036280312656,2,5.803060488658778,11,6,1,19,0
S0039,2.0702697657710987,87.24451818559972,7,2.239651543539179,1,51.470659635177654,27.479072277308447,5,75.44840919294512,0,3.5165340478942504,11,4,3,10,0
S0040,3.1378028651083865,95.47098302612154,3,2.831903563500752,1,50.79742522703435,31.306034557676725,0,67.99038253322168,0,5.614830967677689,9,2,0,35,1
S0041,3.516926605996787,100.0,8,3.5098609607345157,1,72.89815938661808,34.08085424357239,5,73.52266175862586,0,4.323850947948283,12,4,1,21,1
S0042,3.1199577968329795,80.4111573713106,7,3.0676515194621286,0,75.61926642330198,1.6529177838586513,2,63.309431074902484,1,3.0744636152934532,23,6,1,28,0
S0043,2.9190462023282318,95.78680833431295,6,2.9866385789405143,1,100.0,24.60426125168789,1,54.587680072631294,1,2.4614306605685305,14,6,2,24,1
S0044,2.789227413087498,84.61491530499293,8,2.67836933443749,3,89.41609705074406,1.4450164795690625,4,69.48925009188861,0,6.463461346553343,6,7,0,30,1
S0045,1.9650346067428008,83.2737270005918,6,1.9255928280413004,0,71.68212975776981,15.726314781838028,4,89.38939473171746,2,3.094583531984124,3,6,0,14,0
S0046,2.496109054123704,93.83659937486672,7,2.7439232055561558,0,63.29585493481163,29.602544541845756,5,83.5109898658352,1,4.935627383985941,13,2,0,11,0
S0047,2.6775528603281487,91.52322878413419,3,2.5465235891566835,0,100.0,4.619991642013209,2,61.15095193629118,1,5.353950794376982,11,6,0,28,0
S0048,3.739985558353241,69.2360784301575,6,3.258012428131637,1,82.53189599991791,28.390059867915078,2,73.9098296992942,1,3.6867977709535307,10,5,1,23,0
S0049,3.2405328026979228,99.76540349725896,5,3.765407973959549,0,56.6249657284491,0.0,4,90.38696512046491,1,4.446474631646445,11,3,0,38,0
S0050,1.7658718912460862,98.80091354147451,7,2.180308114853232,2,65.50754152817045,37.14979735942353,4,73.27262945319349,1,5.478823910007812,16,6,0,18,1
S0051,3.2268587785763563,78.7443729849047,5,2.839179970044671,0,52.45090519993799,10.033442268419787,3,58.733507103066415,0,5.2933161848204735,16,6,1,38,1
S0052,2.7304424037085786,88.95803533437409,7,2.937354745282137,0,21.909009482992204,4.593238636718244,1,100.0,0,4.539424433525745,10,11,2,10,0
S0053,2.526154599785829,89.94030186282738,1,2.3752621686204263,0,76.25301982414645,0.0,1,77.49561754020574,0,5.236904629675322,5,5,0,22,0
S0054,3.4281734021886074,87.60673765823907,1,3.507219566787925,0,100.0,11.30969250743512,1,62.546316500014754,1,4.897765335814423,22,7,1,26,0
S0055,3.7216996657471655,79.4969484615458,1,3.8099669044512137,1,37.38885595505392,0.0,1,82.5689528873029,2,4.029583420437472,7,5,0,37,0
S0056,3.651896083381339,78.28376632061949,6,3.5815737432864423,0,71.10525191758036,11.774012913375055,4,78.71595001530896,1,6.200490456773731,28,4,1,11,1
S0057,2.412547733744153,84.74445929008554,5,2.177418034068234,3,55.861904417248056,36.49230537999622,3,56.87782842628448,0,5.207420584961433,13,1,0,33,1
S0058,2.78355133690415,96.72729019259364,5,2.5763890212092724,1,80.43005051139706,17.16932600390249,4,81.40053291204748,2,3.1579688227609313,12,7,1,31,1
S0059,3.231884401982495,90.43600154594432,5,2.957026827338122,0,66.55339686550869,2.3372207614003884,3,94.7560326709347,2,5.5216746491717466,12,5,1,23,1
S0060,3.6828815889856514,81.29385667913894,3,3.433334926516518,0,42.798906911647975,23.393949748532123,3,76.50634688764633,2,4.384484150006365,15,4,1,29,0
S0061,2.664578033508297,92.71698710648344,5,2.6444245464934903,2,50.37792572100528,22.0684366381236,3,49.097021791749505,1,4.710563809351907,5,6,0,32,0
S0062,2.870038716335328,56.51457379369924,3,2.6553107196021024,1,53.39398936031585,49.349149438785744,0,85.12882415883955,2,5.00819483419674,12,1,2,15,0
S0063,2.22556551819578,96.48765700372104,1,2.430181137909566,0,96.88636415974415,31.860815278106088,6,89.04350067872231,0,4.207052497013904,10,3,1,34,0
S0064,2.1626553631435304,67.60286221221901,1,2.6088292097443087,0,95.86518553860301,24.583971907592677,4,71.20381884758132,0,6.803037862894352,8,5,2,15,1
S0065,3.568768075675939,81.37559058596868,6,3.394752103264926,0,63.77304225774605,33.575998225393214,1,71.31407597991164,0,3.5066822747315793,18,8,0,27,1
